matrix, M, N, nz, type, avgTime, avgGFlops, threadsPerBlock
cage4, 9, 9, 49, CSR, 0.007670, 0.012776, 128
cage4, 9, 9, 49, HLL, 0.008253, 0.011875, 128
cage4, 9, 9, 49, CSR, 0.008205, 0.011944, 256
cage4, 9, 9, 49, HLL, 0.007910, 0.012389, 256
cage4, 9, 9, 49, CSR, 0.007779, 0.012598, 512
cage4, 9, 9, 49, HLL, 0.007933, 0.012354, 512
cage4, 9, 9, 49, CSR, 0.007603, 0.012889, 1024
cage4, 9, 9, 49, HLL, 0.007669, 0.012779, 1024
mhda416, 416, 416, 8562, CSR, 0.008402, 2.038183, 128
mhda416, 416, 416, 8562, HLL, 0.009595, 1.784642, 128
mhda416, 416, 416, 8562, CSR, 0.008226, 2.081793, 256
mhda416, 416, 416, 8562, HLL, 0.009808, 1.745922, 256
mhda416, 416, 416, 8562, CSR, 0.008136, 2.104720, 512
mhda416, 416, 416, 8562, HLL, 0.010194, 1.679878, 512
mhda416, 416, 416, 8562, CSR, 0.009656, 1.773405, 1024
mhda416, 416, 416, 8562, HLL, 0.011456, 1.494763, 1024
mcfe, 765, 765, 24382, CSR, 0.009267, 5.261999, 128
mcfe, 765, 765, 24382, HLL, 0.011526, 4.230636, 128
mcfe, 765, 765, 24382, CSR, 0.008874, 5.495402, 256
mcfe, 765, 765, 24382, HLL, 0.011664, 4.180727, 256
mcfe, 765, 765, 24382, CSR, 0.008717, 5.594255, 512
mcfe, 765, 765, 24382, HLL, 0.011890, 4.101400, 512
mcfe, 765, 765, 24382, CSR, 0.010405, 4.686683, 1024
mcfe, 765, 765, 24382, HLL, 0.013994, 3.484736, 1024
olm1000, 1000, 1000, 3996, CSR, 0.008395, 0.951973, 128
olm1000, 1000, 1000, 3996, HLL, 0.009781, 0.817111, 128
olm1000, 1000, 1000, 3996, CSR, 0.008400, 0.951429, 256
olm1000, 1000, 1000, 3996, HLL, 0.009802, 0.815377, 256
olm1000, 1000, 1000, 3996, CSR, 0.008702, 0.918367, 512
olm1000, 1000, 1000, 3996, HLL, 0.010702, 0.746748, 512
olm1000, 1000, 1000, 3996, CSR, 0.008658, 0.923120, 1024
olm1000, 1000, 1000, 3996, HLL, 0.010800, 0.740000, 1024
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012141, 1.852596, 128
adder_dcop_32, 1813, 1813, 11246, HLL, 0.018978, 1.185187, 128
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012011, 1.872586, 256
adder_dcop_32, 1813, 1813, 11246, HLL, 0.019096, 1.177838, 256
adder_dcop_32, 1813, 1813, 11246, CSR, 0.011886, 1.892247, 512
adder_dcop_32, 1813, 1813, 11246, HLL, 0.021640, 1.039372, 512
adder_dcop_32, 1813, 1813, 11246, CSR, 0.013893, 1.618968, 1024
adder_dcop_32, 1813, 1813, 11246, HLL, 0.024899, 0.903322, 1024
west2021, 2021, 2021, 7353, CSR, 0.010259, 1.433445, 128
west2021, 2021, 2021, 7353, HLL, 0.012822, 1.146899, 128
west2021, 2021, 2021, 7353, CSR, 0.010419, 1.411433, 256
west2021, 2021, 2021, 7353, HLL, 0.013458, 1.092765, 256
west2021, 2021, 2021, 7353, CSR, 0.010306, 1.426991, 512
west2021, 2021, 2021, 7353, HLL, 0.013966, 1.052956, 512
west2021, 2021, 2021, 7353, CSR, 0.011875, 1.238379, 1024
west2021, 2021, 2021, 7353, HLL, 0.015517, 0.947747, 1024
cavity10, 2597, 2597, 76367, CSR, 0.013397, 11.400782, 128
cavity10, 2597, 2597, 76367, HLL, 0.019589, 7.797006, 128
cavity10, 2597, 2597, 76367, CSR, 0.013106, 11.654102, 256
cavity10, 2597, 2597, 76367, HLL, 0.019528, 7.821282, 256
cavity10, 2597, 2597, 76367, CSR, 0.013899, 10.988690, 512
cavity10, 2597, 2597, 76367, HLL, 0.019963, 7.650777, 512
cavity10, 2597, 2597, 76367, CSR, 0.014622, 10.445207, 1024
cavity10, 2597, 2597, 76367, HLL, 0.022251, 6.864079, 1024
rdist2, 3198, 3198, 56934, CSR, 0.013974, 8.148328, 128
rdist2, 3198, 3198, 56934, HLL, 0.039883, 2.855037, 128
rdist2, 3198, 3198, 56934, CSR, 0.014005, 8.130641, 256
rdist2, 3198, 3198, 56934, HLL, 0.020195, 5.638370, 256
rdist2, 3198, 3198, 56934, CSR, 0.015032, 7.575040, 512
rdist2, 3198, 3198, 56934, HLL, 0.021509, 5.294019, 512
rdist2, 3198, 3198, 56934, CSR, 0.017106, 6.656767, 1024
rdist2, 3198, 3198, 56934, HLL, 0.024173, 4.710584, 1024
cant, 62451, 62451, 4007383, CSR, 0.147496, 54.338870, 128
cant, 62451, 62451, 4007383, HLL, 0.305768, 26.211918, 128
cant, 62451, 62451, 4007383, CSR, 0.153416, 52.242048, 256
cant, 62451, 62451, 4007383, HLL, 0.309534, 25.892973, 256
cant, 62451, 62451, 4007383, CSR, 0.159578, 50.224881, 512
cant, 62451, 62451, 4007383, HLL, 0.312805, 25.622260, 512
cant, 62451, 62451, 4007383, CSR, 0.167360, 47.889376, 1024
cant, 62451, 62451, 4007383, HLL, 0.357870, 22.395722, 1024
olafu, 16146, 16146, 1015156, CSR, 0.047501, 42.742691, 128
olafu, 16146, 16146, 1015156, HLL, 0.093152, 21.795689, 128
olafu, 16146, 16146, 1015156, CSR, 0.053987, 37.607285, 256
olafu, 16146, 16146, 1015156, HLL, 0.093875, 21.627778, 256
olafu, 16146, 16146, 1015156, CSR, 0.054362, 37.348275, 512
olafu, 16146, 16146, 1015156, HLL, 0.093981, 21.603476, 512
olafu, 16146, 16146, 1015156, CSR, 0.059626, 34.051012, 1024
olafu, 16146, 16146, 1015156, HLL, 0.105528, 19.239557, 1024
Cube_Coup_dt0, 2164760, 2164760, 127206144, CSR, 4.268459, 59.602839, 128
Cube_Coup_dt0, 2164760, 2164760, 127206144, HLL, 8.365198, 30.413181, 128
Cube_Coup_dt0, 2164760, 2164760, 127206144, CSR, 4.345610, 58.544672, 256
Cube_Coup_dt0, 2164760, 2164760, 127206144, HLL, 8.434661, 30.162717, 256
Cube_Coup_dt0, 2164760, 2164760, 127206144, CSR, 4.568842, 55.684199, 512
Cube_Coup_dt0, 2164760, 2164760, 127206144, HLL, 8.513253, 29.884263, 512
Cube_Coup_dt0, 2164760, 2164760, 127206144, CSR, 5.308482, 47.925623, 1024
Cube_Coup_dt0, 2164760, 2164760, 127206144, HLL, 9.129466, 27.867161, 1024
ML_Laplace, 377002, 377002, 27689972, CSR, 0.976032, 56.739886, 128
ML_Laplace, 377002, 377002, 27689972, HLL, 1.803568, 30.705770, 128
ML_Laplace, 377002, 377002, 27689972, CSR, 1.006536, 55.020331, 256
ML_Laplace, 377002, 377002, 27689972, HLL, 1.804525, 30.689489, 256
ML_Laplace, 377002, 377002, 27689972, CSR, 0.988402, 56.029801, 512
ML_Laplace, 377002, 377002, 27689972, HLL, 1.814574, 30.519523, 512
ML_Laplace, 377002, 377002, 27689972, CSR, 1.048440, 52.821281, 1024
ML_Laplace, 377002, 377002, 27689972, HLL, 1.974211, 28.051682, 1024
bcsstk17, 10974, 10974, 428650, CSR, 0.029022, 29.539253, 128
bcsstk17, 10974, 10974, 428650, HLL, 0.054734, 15.662910, 128
bcsstk17, 10974, 10974, 428650, CSR, 0.030261, 28.330381, 256
bcsstk17, 10974, 10974, 428650, HLL, 0.054549, 15.716203, 256
bcsstk17, 10974, 10974, 428650, CSR, 0.030690, 27.934544, 512
bcsstk17, 10974, 10974, 428650, HLL, 0.060837, 14.091800, 512
bcsstk17, 10974, 10974, 428650, CSR, 0.036048, 23.782179, 1024
bcsstk17, 10974, 10974, 428650, HLL, 0.061923, 13.844569, 1024
mac_econ_fwd500, 206500, 206500, 1273389, CSR, 0.319531, 7.970358, 128
mac_econ_fwd500, 206500, 206500, 1273389, HLL, 0.372136, 6.843675, 128
mac_econ_fwd500, 206500, 206500, 1273389, CSR, 0.321043, 7.932820, 256
mac_econ_fwd500, 206500, 206500, 1273389, HLL, 0.400694, 6.355911, 256
mac_econ_fwd500, 206500, 206500, 1273389, CSR, 0.325693, 7.819571, 512
mac_econ_fwd500, 206500, 206500, 1273389, HLL, 0.439059, 5.800534, 512
mac_econ_fwd500, 206500, 206500, 1273389, CSR, 0.463166, 5.498624, 1024
mac_econ_fwd500, 206500, 206500, 1273389, HLL, 0.605931, 4.203081, 1024
mhd4800a, 4800, 4800, 102252, CSR, 0.016846, 12.139329, 128
mhd4800a, 4800, 4800, 102252, HLL, 0.023178, 8.823347, 128
mhd4800a, 4800, 4800, 102252, CSR, 0.016238, 12.593852, 256
mhd4800a, 4800, 4800, 102252, HLL, 0.023592, 8.668362, 256
mhd4800a, 4800, 4800, 102252, CSR, 0.016741, 12.215904, 512
mhd4800a, 4800, 4800, 102252, HLL, 0.049216, 4.155234, 512
mhd4800a, 4800, 4800, 102252, CSR, 0.019818, 10.319312, 1024
mhd4800a, 4800, 4800, 102252, HLL, 0.031179, 6.558988, 1024
cop20k_A, 121192, 121192, 2624331, CSR, 0.191821, 27.362319, 128
cop20k_A, 121192, 121192, 2624331, HLL, 0.282579, 18.574127, 128
cop20k_A, 121192, 121192, 2624331, CSR, 0.201368, 26.065025, 256
cop20k_A, 121192, 121192, 2624331, HLL, 0.285445, 18.387660, 256
cop20k_A, 121192, 121192, 2624331, CSR, 0.207406, 25.306172, 512
cop20k_A, 121192, 121192, 2624331, HLL, 0.302949, 17.325244, 512
cop20k_A, 121192, 121192, 2624331, CSR, 0.271701, 19.317801, 1024
cop20k_A, 121192, 121192, 2624331, HLL, 0.399104, 13.151114, 1024
raefsky2, 3242, 3242, 294276, CSR, 0.018526, 31.768287, 128
raefsky2, 3242, 3242, 294276, HLL, 0.035342, 16.652859, 128
raefsky2, 3242, 3242, 294276, CSR, 0.018643, 31.569258, 256
raefsky2, 3242, 3242, 294276, HLL, 0.033656, 17.487283, 256
raefsky2, 3242, 3242, 294276, CSR, 0.019587, 30.047786, 512
raefsky2, 3242, 3242, 294276, HLL, 0.033899, 17.361826, 512
raefsky2, 3242, 3242, 294276, CSR, 0.023840, 24.687584, 1024
raefsky2, 3242, 3242, 294276, HLL, 0.037622, 15.643659, 1024
af23560, 23560, 23560, 484256, CSR, 0.048622, 19.919050, 128
af23560, 23560, 23560, 484256, HLL, 0.061906, 15.644982, 128
af23560, 23560, 23560, 484256, CSR, 0.048957, 19.782992, 256
af23560, 23560, 23560, 484256, HLL, 0.065424, 14.803620, 256
af23560, 23560, 23560, 484256, CSR, 0.049587, 19.531492, 512
af23560, 23560, 23560, 484256, HLL, 0.068986, 14.039336, 512
af23560, 23560, 23560, 484256, CSR, 0.065581, 14.768225, 1024
af23560, 23560, 23560, 484256, HLL, 0.087459, 11.073872, 1024
lung2, 109460, 109460, 492564, CSR, 0.176214, 5.590508, 128
lung2, 109460, 109460, 492564, HLL, 0.201021, 4.900627, 128
lung2, 109460, 109460, 492564, CSR, 0.175387, 5.616875, 256
lung2, 109460, 109460, 492564, HLL, 0.206856, 4.762385, 256
lung2, 109460, 109460, 492564, CSR, 0.177648, 5.545393, 512
lung2, 109460, 109460, 492564, HLL, 0.230138, 4.280604, 512
lung2, 109460, 109460, 492564, CSR, 0.249678, 3.945588, 1024
lung2, 109460, 109460, 492564, HLL, 0.324763, 3.033373, 1024
PR02R, 161070, 161070, 8185136, CSR, 0.316211, 51.770057, 128
PR02R, 161070, 161070, 8185136, HLL, 0.656539, 24.934188, 128
PR02R, 161070, 161070, 8185136, CSR, 0.340237, 48.114348, 256
PR02R, 161070, 161070, 8185136, HLL, 0.656613, 24.931393, 256
PR02R, 161070, 161070, 8185136, CSR, 0.356573, 45.910041, 512
PR02R, 161070, 161070, 8185136, HLL, 0.672264, 24.350957, 512
PR02R, 161070, 161070, 8185136, CSR, 0.371282, 44.091256, 1024
PR02R, 161070, 161070, 8185136, HLL, 0.766805, 21.348682, 1024
FEM_3D_thermal1, 17880, 17880, 430740, CSR, 0.039792, 21.649578, 128
FEM_3D_thermal1, 17880, 17880, 430740, HLL, 0.055600, 15.494245, 128
FEM_3D_thermal1, 17880, 17880, 430740, CSR, 0.040542, 21.248865, 256
FEM_3D_thermal1, 17880, 17880, 430740, HLL, 0.057661, 14.940479, 256
FEM_3D_thermal1, 17880, 17880, 430740, CSR, 0.038298, 22.494360, 512
FEM_3D_thermal1, 17880, 17880, 430740, HLL, 0.060850, 14.157529, 512
FEM_3D_thermal1, 17880, 17880, 430740, CSR, 0.052592, 16.380438, 1024
FEM_3D_thermal1, 17880, 17880, 430740, HLL, 0.077774, 11.076653, 1024
thermal1, 82654, 82654, 574458, CSR, 0.135968, 8.449900, 128
thermal1, 82654, 82654, 574458, HLL, 0.157224, 7.307510, 128
thermal1, 82654, 82654, 574458, CSR, 0.136525, 8.415438, 256
thermal1, 82654, 82654, 574458, HLL, 0.170266, 6.747787, 256
thermal1, 82654, 82654, 574458, CSR, 0.137546, 8.352983, 512
thermal1, 82654, 82654, 574458, HLL, 0.193410, 5.940326, 512
thermal1, 82654, 82654, 574458, CSR, 0.190986, 6.015721, 1024
thermal1, 82654, 82654, 574458, HLL, 0.248446, 4.624402, 1024
thermal2, 1228045, 1228045, 8580313, CSR, 1.540491, 11.139710, 128
thermal2, 1228045, 1228045, 8580313, HLL, 1.962040, 8.746318, 128
thermal2, 1228045, 1228045, 8580313, CSR, 1.556104, 11.027943, 256
thermal2, 1228045, 1228045, 8580313, HLL, 1.795045, 9.559999, 256
thermal2, 1228045, 1228045, 8580313, CSR, 1.734259, 9.895076, 512
thermal2, 1228045, 1228045, 8580313, HLL, 1.982733, 8.655037, 512
thermal2, 1228045, 1228045, 8580313, CSR, 2.331390, 7.360683, 1024
thermal2, 1228045, 1228045, 8580313, HLL, 2.851894, 6.017273, 1024
thermomech_TK, 102158, 102158, 711558, CSR, 0.140258, 10.146445, 128
thermomech_TK, 102158, 102158, 711558, HLL, 0.158531, 8.976883, 128
thermomech_TK, 102158, 102158, 711558, CSR, 0.139981, 10.166509, 256
thermomech_TK, 102158, 102158, 711558, HLL, 0.166930, 8.525247, 256
thermomech_TK, 102158, 102158, 711558, CSR, 0.138894, 10.246029, 512
thermomech_TK, 102158, 102158, 711558, HLL, 0.182578, 7.794582, 512
thermomech_TK, 102158, 102158, 711558, CSR, 0.201283, 7.070218, 1024
thermomech_TK, 102158, 102158, 711558, HLL, 0.254494, 5.591934, 1024
nlpkkt80, 1062400, 1062400, 28704672, CSR, 1.360301, 42.203419, 128
nlpkkt80, 1062400, 1062400, 28704672, HLL, 2.287101, 25.101361, 128
nlpkkt80, 1062400, 1062400, 28704672, CSR, 1.403150, 40.914605, 256
nlpkkt80, 1062400, 1062400, 28704672, HLL, 2.410866, 23.812752, 256
nlpkkt80, 1062400, 1062400, 28704672, CSR, 1.583941, 36.244627, 512
nlpkkt80, 1062400, 1062400, 28704672, HLL, 2.605954, 22.030071, 512
nlpkkt80, 1062400, 1062400, 28704672, CSR, 2.114629, 27.148663, 1024
nlpkkt80, 1062400, 1062400, 28704672, HLL, 3.029195, 18.952012, 1024
webbase-1M, 1000005, 1000005, 3105536, CSR, 1.337304, 4.644473, 128
webbase-1M, 1000005, 1000005, 3105536, HLL, 1.658750, 3.744428, 128
webbase-1M, 1000005, 1000005, 3105536, CSR, 1.298850, 4.781979, 256
webbase-1M, 1000005, 1000005, 3105536, HLL, 1.841573, 3.372700, 256
webbase-1M, 1000005, 1000005, 3105536, CSR, 1.395790, 4.449860, 512
webbase-1M, 1000005, 1000005, 3105536, HLL, 2.046880, 3.034409, 512
webbase-1M, 1000005, 1000005, 3105536, CSR, 1.957750, 3.172556, 1024
webbase-1M, 1000005, 1000005, 3105536, HLL, 2.787059, 2.228540, 1024
dc1, 116835, 116835, 766396, CSR, 0.319626, 4.795586, 128
dc1, 116835, 116835, 766396, HLL, 1.135418, 1.349981, 128
dc1, 116835, 116835, 766396, CSR, 0.317075, 4.834159, 256
dc1, 116835, 116835, 766396, HLL, 1.443782, 1.061650, 256
dc1, 116835, 116835, 766396, CSR, 0.292146, 5.246672, 512
dc1, 116835, 116835, 766396, HLL, 3.357730, 0.456497, 512
dc1, 116835, 116835, 766396, CSR, 0.235182, 6.517460, 1024
dc1, 116835, 116835, 766396, HLL, 3.093707, 0.495455, 1024
amazon0302, 262111, 262111, 1234877, CSR, 0.396291, 6.232170, 128
amazon0302, 262111, 262111, 1234877, HLL, 0.438150, 5.636772, 128
amazon0302, 262111, 262111, 1234877, CSR, 0.379355, 6.510400, 256
amazon0302, 262111, 262111, 1234877, HLL, 0.467566, 5.282146, 256
amazon0302, 262111, 262111, 1234877, CSR, 0.396062, 6.235770, 512
amazon0302, 262111, 262111, 1234877, HLL, 0.511645, 4.827087, 512
amazon0302, 262111, 262111, 1234877, CSR, 0.534683, 4.619098, 1024
amazon0302, 262111, 262111, 1234877, HLL, 0.717666, 3.441372, 1024
af_1_k101, 503625, 503625, 17550675, CSR, 0.815888, 43.022265, 128
af_1_k101, 503625, 503625, 17550675, HLL, 1.330765, 26.376825, 128
af_1_k101, 503625, 503625, 17550675, CSR, 0.862690, 40.688273, 256
af_1_k101, 503625, 503625, 17550675, HLL, 1.352846, 25.946294, 256
af_1_k101, 503625, 503625, 17550675, CSR, 0.899366, 39.028976, 512
af_1_k101, 503625, 503625, 17550675, HLL, 1.380622, 25.424294, 512
af_1_k101, 503625, 503625, 17550675, CSR, 1.093790, 32.091477, 1024
af_1_k101, 503625, 503625, 17550675, HLL, 1.851030, 18.963141, 1024
roadNet-PA, 1090920, 1090920, 3083796, CSR, 1.380357, 4.468114, 128
roadNet-PA, 1090920, 1090920, 3083796, HLL, 1.726573, 3.572159, 128
roadNet-PA, 1090920, 1090920, 3083796, CSR, 1.400637, 4.403420, 256
roadNet-PA, 1090920, 1090920, 3083796, HLL, 1.746349, 3.531707, 256
roadNet-PA, 1090920, 1090920, 3083796, CSR, 1.488323, 4.143987, 512
roadNet-PA, 1090920, 1090920, 3083796, HLL, 1.959272, 3.147900, 512
roadNet-PA, 1090920, 1090920, 3083796, CSR, 2.077162, 2.969240, 1024
roadNet-PA, 1090920, 1090920, 3083796, HLL, 2.908075, 2.120850, 1024
